Time,Height,Velocity,Thrust,Target_Height
1.3000000000000007,2.405585924658467,1.3111487932759232,0.0,2.5
1.3200000000000007,2.4328842446918704,1.3649160016701716,22.693721074473757,2.5
1.3400000000000007,2.4562130675252183,1.1664411416673879,0.0,2.5
1.3600000000000008,2.4811345645427325,1.24607485087572,25.0,2.5
1.3800000000000008,2.502090525731884,1.0477980594575937,0.0,2.5
1.4000000000000008,2.5246431158746097,1.1276295071362754,25.0,2.5
1.4200000000000008,2.5432341183670975,0.9295501246243816,0.0,2.5
1.4400000000000008,2.5634256914109863,1.009578652194452,25.0,2.5
1.4600000000000009,2.5796596118331356,0.8116960211074613,0.0,2.5
1.4800000000000009,2.5974980312768037,0.8919209721833933,25.0,2.5
1.5000000000000009,2.611382720021399,0.6942344372297543,0.0,2.5
1.520000000000001,2.6268758231736418,0.7746551576121492,25.0,2.5
1.540000000000001,2.6384191044872978,0.5771640656827957,0.0,2.5
1.560000000000001,2.6515747025543197,0.6577799033511021,25.0,2.5
1.580000000000001,2.6607843746245634,0.46048360351218365,0.0,2.5
1.600000000000001,2.671610252796912,0.5412939086174411,25.0,2.5
1.620000000000001,2.6784940878389736,0.3441917521030787,0.0,2.5
1.640000000000001,2.6869980053781872,0.4251958769606846,25.0,2.5
1.660000000000001,2.691563749721502,0.22828721716575012,0.0,2.5
1.680000000000001,2.6977534400464673,0.30948451624825163,25.0,2.5
1.700000000000001,2.7000088142208907,0.1127687087211712,0.0,2.5
1.720000000000001,2.7038919849939123,0.19415853865108035,25.0,2.5
1.740000000000001,2.7038446838156456,-0.0023650589133381306,0.0,2.5
1.7600000000000011,2.7054290170282314,0.0792166606292952,25.0,2.5
1.7800000000000011,2.703086709685463,-0.11711536713842033,0.0,2.5
1.8000000000000012,2.7023798617438217,-0.035342397082078536,25.0,2.5
1.8200000000000012,2.6977501918820828,-0.23148349308694174,0.0,2.5
1.8400000000000012,2.6947597936923358,-0.1495199094873524,25.0,2.5
1.8600000000000012,2.687850379499572,-0.3454707096382068,0.0,2.5
1.8800000000000012,2.6825840365526847,-0.2633171473443654,25.0,2.5
1.9000000000000012,2.6734024708440423,-0.4590782854321248,0.0,2.5
1.9200000000000013,2.66586776330047,-0.3767353771786268,25.0,2.5
1.9400000000000013,2.6544216136028034,-0.5723074848833292,0.0,2.5
1.9600000000000013,2.644626096376855,-0.4897758612974125,25.0,2.5
1.9800000000000013,2.63092290501295,-0.6851595681952501,0.0,2.5
2.0000000000000013,2.6188741078568736,-0.6024398578038136,25.0,2.5
2.0200000000000014,2.605899402817692,-0.6487352519590652,13.40104854735678,2.5
2.0400000000000014,2.594577877842465,-0.5660762487613556,25.0,2.5
2.0600000000000014,2.5834355851775923,-0.5571146332436483,18.37963395927946,2.5
2.0800000000000014,2.5739434185560497,-0.47460833107713113,25.0,2.5
2.1000000000000014,2.562899727031313,-0.5521845762368268,10.604946685965821,2.5
2.1200000000000014,2.5535059972146734,-0.46968649083198766,25.0,2.5
2.1400000000000015,2.544634029071833,-0.4435984071420327,19.93547455847115,2.5
2.1600000000000015,2.537408403098119,-0.36128129868568487,25.0,2.5
2.1800000000000015,2.5277292961999116,-0.48395534491037423,6.563143644975106,2.5
2.2000000000000015,2.51969787670209,-0.4015709748910792,25.0,2.5
2.2200000000000015,2.5129866781505825,-0.33555992757537456,23.538758612179755,2.5
2.2400000000000015,2.50791822048555,-0.25342288325163786,25.0,2.5
2.2600000000000016,2.4989660293058806,-0.4476095589834659,0.14318575164773506,2.5
2.2800000000000016,2.4916603140003994,-0.365285765274049,25.0,2.5
2.3000000000000016,2.4859983304426496,-0.2830991778874812,25.0,2.5
2.3200000000000016,2.48020780885711,-0.2895260792769862,17.037113998261425,2.5
2.3400000000000016,2.476058493696435,-0.20746575803374678,25.0,2.5
2.3600000000000017,2.469558838114671,-0.3249827790881874,7.050348241395284,2.5
